id,semestre,estatus,interes,genero,pronombres,edad,mayor,menor,buscando,pelicula,Reggaeton,Electrónica,Pop,Instrumental,Rock,Metal,Cumbia,Kpop,Banda,anime,videojuegos,bailar,Futbol,Basquetbol,Baseball,Futbol Americano,Natación,Tennis,Ciclismo,No,Otro,Golf,taco,bbt,animal,helado,celebracion,estacion,pizza,astrologia,signo,cocinar,cocinen,perrogato,pelilibros,subdub,temperatura,tiburon,poderes,caracteristicapareja,caracteristica
1037,8,Soltero,"Mujeres, Hombres, No binarixs, Género fluido, Estoy aquí en busca de amigxs",Femenino,Ella,22,Sí,No,Amistad,Comedia,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,No,Sí,Sí,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,Pastor,Leonard,Ballena,Pistache,Navidad,Verano,Sí,Sí,Leo,Sí,Sí,Perros,Libro,Subtitulada,Calor,Patricia Armendáriz,Manipular el tiempo,Respeto,Empátic@
1038,6,Soltero,"Mujeres, Hombres, No binarixs, Género fluido, Estoy aquí en busca de amigxs",Femenino,Ella,19,Sí,No,Algo Casual,Suspenso,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,Sí,Sí,Sí,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,Canasta-/Al vapor,Ninguno,Ballena,Napolitano,Navidad,Verano,No,Sí,Leo,Sí,No,Perros,Película,Subtitulada,Calor,Emmanuel,Telepatía,Interesante,Divertido
1039,6,Soltero,"Mujeres, Hombres, No binarixs, Género fluido",Femenino,Ella,20,Sí,Sí,Amistad,Romance,VERDADERO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,No,Sí,"Sí pero no sé bailar",VERDADERO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,Carne asada,Howard,Ballena,Cookies and cream,Spring Break,Invierno,No,Sí,Virgo,Sí,Sí,Gatos,Película,Doblada,Frio,Patricia Armendáriz,Teletransporte,Cariño,Cariños@
1040,6,Soltero,"Mujeres, Hombres, No binarixs, Género fluido, Estoy aquí en busca de amigxs",Femenino,Ella,20,Sí,Sí,Amistad,Romance,VERDADERO,VERDADERO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,No,Sí,Sí,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,VERDADERO,VERDADERO,Carne asada,Bernadette,Tigre,Chocolate,San Valentín,Invierno,Sí,Sí,Piscis,No,Sí,Perros,Película,Subtitulada,Calor,Patricia Armendáriz,Teletransporte,Interesante,Divertido
1041,4,Soltero,"Mujeres, Hombres, No binarixs, Género fluido, Estoy aquí en busca de amigxs",Masculino,Él,19,Sí,Sí,Amistad,Suspenso,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,Sí,Sí,"Sí pero no sé bailar",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,Pastor,Ninguno,Lobo,Caramelo,Año nuevo,Primavera,No,No,Cáncer,Sí,Sí,Perros,Película,Subtitulada,Calor,Rodrigo Herrera,Dinero como el batman,Cariño,Responsable
1042,4,Estoy aquí en busca de amigxs,"Mujeres, Hombres, No binarixs, Género fluido, Estoy aquí en busca de amigxs",Femenino,Ella,19,Sí,No,Amistad,Comedia,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,No,No,"Sí pero no sé bailar",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,Pastor,Sheldon,Tigre,Chocomenta,San Valentín,Otoño,Sí,No,Escorpio,Sí,Sí,Perros,Libro,Subtitulada,Frio,Rodrigo Herrera,Control Mental y manipulación,Diversión,Divertido
1043,4,Soltero,"Mujeres, Hombres, No binarixs, Género fluido, Estoy aquí en busca de amigxs",Femenino,Ella,19,Sí,No,Pareja,Drama,FALSO,FALSO,VERDADERO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,Sí,No,"Sí pero no sé bailar",FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,Pastor,Ninguno,Pingüino,Cookies and cream,San Valentín,Otoño,No,No,Escorpio,No,Sí,Perros,Libro,Subtitulada,Frio,Rodrigo Herrera,Teletransporte,Empatía,Interesante
1044,4,Soltero,"Mujeres, Hombres, No binarixs, Género fluido, Estoy aquí en busca de amigxs",Femenino,Ella,19,Sí,Sí,Amistad,Comedia,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,No,No,"Sí pero no sé bailar",VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,Carne asada,Ninguno,Lobo,Chocolate,Día de la Independencia,Otoño,No,No,Tauro,Sí,Sí,Perros,Libro,Subtitulada,Frio,Emmanuel,Manipular el tiempo,Respeto,Responsable
1045,4,Soltero,"Mujeres, Hombres, No binarixs, Género fluido, Estoy aquí en busca de amigxs",Femenino,Ella,19,Sí,Sí,Algo Casual,Suspenso,VERDADERO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,No,No,Sí,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,Vegetariano,Penny,Ballena,Vanilla,Día de la Independencia,Verano,No,Sí,Tauro,No,Sí,Perros,Película,Subtitulada,Calor,Patricia Armendáriz,Teletransporte,Empatía,Inteligente
1046,4,Estoy aquí en busca de amigxs,"Mujeres, Hombres, No binarixs, Género fluido, Estoy aquí en busca de amigxs",Femenino,Ella,20,Sí,Sí,Amistad,Acción,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,No,Sí,"Sí pero no sé bailar",FALSO,VERDADERO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,Barbacoa,Sheldon,Ballena,Cookies and cream,San Valentín,Invierno,No,Sí,Sagitario,Sí,Sí,Perros,Película,Subtitulada,Frio,Carlos Bremer,Teletransporte,Diversión,Divertido
